Al,B,Co,Cr,Cu,Fe,Ga,La,Mg,Mn,Mo,Nb,Ni,P,Pt,Si,Sn,V,Zn,Zr,sint_temp,sint_time,T,p,flow,dry/red,k_d,yield,score
0.971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029,0,0,0.608993157,1,-1,0,-1,-1,0.273098921,0.150761072,0.219176772
0.962,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029,0,0,0.608993157,1,0.333333333,0,-1,-1,0.360245822,0.374808619,0.47957076
0.962,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029,0,0,0.608993157,1,-0.2,0,-1,-1,0.298391944,0.305425704,0.428578269
0.962,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029,0,0,0.608993157,1,-1,0,-1,-1,0.254422206,0.225100832,0.335660363
0.971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029,0,0,0.608993157,1,-1,0,-0.333333333,1,0.505165992,0.052899301,0.052352746
0.962,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029,0,0,0.608993157,1,-1,0,-0.333333333,1,0.891476762,0.115279875,0.02502109
0.943,0,0.028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028,0,0,0.608993157,1,-1,0,-0.333333333,1,0.263986803,0.133750065,0.196883627
0.926,0,0.046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028,0,0,0.608993157,1,-1,0,-0.333333333,1,0.220809615,0.128552418,0.200333615
0.971,0,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608993157,1,-1,0,-0.333333333,1,0.277808545,0.075827263,0.109523603
0.943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057,0,0,0.608993157,1,-1,0,-0.333333333,1,0.648844287,0.093444573,0.065627191
0.926,0,0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056,0,0,0.608993157,1,-1,0,-0.333333333,1,0.168941554,0.155034426,0.257685339
0.962,0,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.608993157,1,-1,0,-0.333333333,1,0.558313006,0.12838609,0.113412932
